Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [subtype]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [SUBTYPE]
GSM162184 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_2	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162184 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162184 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162184	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162184.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162184_sample_table.txt norm	GSM162184_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162183 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_1	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162183 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162183 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162183	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162183.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162183_sample_table.txt norm	GSM162183_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162182 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_12	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162182 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162182 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162182	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162182.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162182_sample_table.txt norm	GSM162182_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162181 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_11	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162181 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162181 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162181	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162181.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162181_sample_table.txt norm	GSM162181_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162180 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_10	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162180 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162180 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162180	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162180.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162180_sample_table.txt norm	GSM162180_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162179 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_9	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162179 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162179 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162179	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162179.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162179_sample_table.txt norm	GSM162179_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162178 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_8	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162178 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162178 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162178	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162178.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162178_sample_table.txt norm	GSM162178_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162177 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_7	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162177 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162177 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162177	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162177.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162177_sample_table.txt norm	GSM162177_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162176 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_6	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162176 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162176 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162176	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162176.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162176_sample_table.txt norm	GSM162176_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162175 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_5	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162175 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162175 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162175	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162175.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162175_sample_table.txt norm	GSM162175_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162174 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_4	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162174 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162174 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162174	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162174.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162174_sample_table.txt norm	GSM162174_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162173 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_3	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162173 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162173 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162173	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162173.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162173_sample_table.txt norm	GSM162173_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162172 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_2	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162172 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162172 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162172	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162172.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162172_sample_table.txt norm	GSM162172_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162171 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2B	P2B_KIDNEY_1	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2B	P-GSE7023-2	ArrayExpress	GSM162171 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162171 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162171	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162171.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162171_sample_table.txt norm	GSM162171_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2B
GSM162170 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2A	P2A_KIDNEY_4	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2A	P-GSE7023-2	ArrayExpress	GSM162170 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162170 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162170	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162170.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162170_sample_table.txt norm	GSM162170_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2A
GSM162169 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: P2A	P2A_KIDNEY_3	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	P2A	P-GSE7023-2	ArrayExpress	GSM162169 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162169 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162169	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162169.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162169_sample_table.txt norm	GSM162169_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	P2A
